职位,公司,地区,学历,岗位,薪资,福利,工作经验,链接
['大数据能助理五险年底双薪'],['沈阳探梦科技有限公司'],['和平区'],"['经验', '\n                                ', '学历', '不限                        ']","['岗位职责：', '1.前期协助老员工尽快完成公司项目，例如做简单的小程序', '2.学习能力较强，接受新知识的能力要快', '3.后期希望上手能力较快，能尽快接手公司安排的新项目', '\n                ']",['3千-5千/月'],"['五险一金', '全勤奖', '通讯补贴', '包吃', '包住', '绩效奖金', '年底双薪', '交通补助']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC839348280J00118812114/
['大数据研发工程师'],['深圳市安云信息科技有限公司'],['深圳市南山区西丽街道朗山路7号中航工业南航大厦10A'],['\n本科                        '],"['1. 计算机、统计学、应用数学、数理统计相关专业大学本科以上学历', '2. 5年以上Java相关开发经验， 熟悉Scala、Python、R语言者有加分', '3. 熟练使用传统Java框架、工具、中间件：Spring、SpringMVC、SpringBoot、SpringCloud、Mybatis、Maven、Redis、Kafka、Socket、WebSocket、DB 等', '4. 熟悉大数据相关平台和产品：HDFS、HBase、MapReduce、Hive、Spark、Storm、Yarn、Cassandra、MongoDB、Scikit-Learn、H2O等', '5. 熟悉统计分析或机器学习算法者有加分', '6. 有一定的系统设计能力：如流程设计、数据建模', '7. 熟练使用 Linux OS8. 有英文技术文档独立阅读能力\n                ']",['1万-1.5万/月'],"['五险一金', '绩效奖金', '带薪年假', '定期体检', '通讯补贴', '餐补', '加班补助']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC131567772J00233376402/
['大数据销售经理（合肥）'],['黑龙江鑫联华信息股份有限公司'],['合肥市区'],['\n大专                        '],[],['8千-1万/月'],"['节日福利', '员工旅游', '五险一金', '绩效奖金', '年终分红', '交通补助', '周末双休']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC184309211J00197609902/
['大数据高级开发工程师（数据库专家）'],['思杰系统信息技术(北京)有限公司上海分公司'],['江苏省南京市江宁区九龙湖国际企业总部园C3号楼'],['\n本科                        '],"['Citrix AnalyticsPlatform team is hiring a Senior Software Engineer. Theideal candidate is energized by the thought of developing a big data platformand tools for big data ingestion, processing, and analytics.', 'The candidate isa seasoned software engineer who designs, develops, troubleshoots and debugscomplex software applications, demonstrating for others how to resolve issuesin innovative and practical ways. This individualwill work on a team of talented engineers responsible for designing,developing, optimizing and extending the Citrix Analytics big data platform.', 'Responsibilities  Design, develop, and maintain the     Citrix Analytics platform Extend the Citrix Analytics     platform by researching and applying new big data technologies and stacks     to solve business problems Maintain the Citrix analytics platform     by diagnosing, predicting and correcting scaling problems Work with large streams of data with tools like Spark,     Hadoop, Kafka, Flume, and Cassandra Contribute to our team’s growing     set of development platforms, tools, and processes Build automation and tools that     will increase the productivity of teams located in different GEOs.  Provide input and feedback to     teams regarding decisions surrounding topics such as infrastructure, data     architectures, and DevOps/SRE strategy', '·      Supportand provide guidance to the company’s software engineering processes andstandards', '·      Pursueand encourage others to acquire information and training regarding trends andadvancements within area of specialization, incorporating these improvementswhere applicable', 'RequiredSkills ', '·      BS or MS degreein computer science, electrical engineering, or related field is preferred,with a minimum of 3 years of directly related work experience. Strong     CS fundamentals, data structures, algorithms with good understanding of     big data', '·      Familiar withSQL and MS SQLServer, fluencyin database specific programming language (T-SQL) Hands-on     experience in relational databases and NO-SQL databases Ability     to design data models, monitor and debug issue and tuning performance Understand     database design principal is a plus', '·      Experience ofworking on development and delivery product based on Cloud Services (Azure,AWS) is a strong plus', '·      MachineLearning experience is a strong plus', '·      Hands-onexperience in designing and implementing dataingestion and transformation for big dataplatforms (Hadoop, Spark, kafka, storm etc.), proventrack record designing highly parallelized data ingestion and transformationjobs in Spark including Spark Streaming is a strong plus', '·      Capability ofusing multiple programming languages (python, Java, JavaScript, Node, Scala,etc.) is a plus', '·      Security knowledgeand experience is a plus Experience     with using automation tools (Ansible, Puppet, Chef) and DevOps tools     (Jenkins, Travis-CI, Gitlab CI) is a plus', '·      Strongcommunication (verbal and written, Chinese and English) and interpersonal skill Drive     to stay abreast new technologies\n                ']",['2万-3万/月'],"['弹性工作', '周末双休', '五险一金', '定期体检', '补充医疗保险', '节日福利', '免费班车']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC663551520J00304009401/
['大数据应用开发工程师'],['上汽通用五菱汽车股份有限公司'],['柳州市河西路18号'],"['经验', '\n本科                        ']","['岗位职责：', '\xa0 \xa0 1、 深入学习、对接公司现有大数据应用软件；', '\xa0 \xa0 2、 负责基础架构设计、部署、测试，监控、优化升级，实现对数据的分析、挖掘、处理、生成报表等', '\xa0 \xa0 3、 完成大数据的应用开发能力；', '\xa0 \xa0 4、 Hadoop平台的设计开发，大数据环境下分布式数据分析处理；', '\xa0 \xa0 5、 针对用户问题，支持响应；', '\xa0 \xa0', '\xa0 \xa0 岗位要求：', '\xa0 \xa0 1.计算机或相关专业毕业，本科及以上学历，“985”、“211”工程院校优先；', '\xa0 \xa0 2.精通Linux操作系统、Java开发语言、Scala语言和Mysql等数据库；', '\xa0 \xa0 3.熟悉shell 或 Python 或 perl脚本语言的使用；', '\xa0 \xa0 4.优先条件：', '\xa0 \xa0 5熟悉分布式开发和分布式系统部署；', '\xa0 \xa0 6熟悉Hadoop、Spark、Hive等分布式大数据技术.', '\xa0 \xa0 7、熟悉神经网络、随机森林、聚类、贝叶斯等数据挖掘算法，有数据挖掘的项目经验者优先；', '\xa0 \xa0 8、熟悉操作系统和网络知识，有良好的数据结构和算法基础；', '\xa0 \xa0 9、对hadoop／hive／hbase等大数据开发相关技术有深入了解，有实际项目经验', '\xa0 \xa0 \xa0\xa0 \xa0', '\n                ']",['面议'],[],"['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC000064129J90251553000/
['大数据分析工程师'],['上汽通用五菱汽车股份有限公司'],['柳州市河西路18号'],"['经验', '\n                                ', '学历', '不限                        ']","['岗位职责：', '\xa0 \xa0 1、负责对数据进行收集、整理、深度分析，挖掘新能源市场方向、规律，为业务提供决策依据；', '\xa0 \xa0 2、善于发现、挖掘数据，通过分析和研究用户用车场景和群体特征，为产品、运营、推广部门提出优化建议。', '\xa0 \xa0 岗位要求：', '\xa0 \xa0 1、本科及以上学历，“985”、“211”工程院校优先；数学、统计、计算机等相关专业优先；熟练掌握EXCEL、PPT、WORD等办公软件；', '\xa0 \xa0 2、能第一时间了解到关于行业或竞争对手最新资讯；对所处行业/领域的发展动向有清晰的了解；', '\xa0 \xa0 3、良好的数据敏感度，能快速识别数据核心结果。有一定的市场洞察力，能熟练进行数据分析；', '\xa0 \xa0 4、工作细致、责任心强、逻辑思维能力强、能够充分利用有效资源帮助解决问题。', '\xa0 \xa0 \xa0\xa0 \xa0', '\n                ']",['面议'],[],"['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC000064129J90251572000/
['大数据研发经理/工程师'],['北京汇商融通信息技术有限公司'],['北京市大兴工业开发区科苑路18号华商创意中心4号楼'],['\n本科                        '],"['岗位职责：', '1.\xa0负责大数据系统平台或者业务数据仓库开发与管理\xa0', '2.\xa0负责大数据开发和查询平台建设，包括数据ETL，权限，调度，主数据，元数据，报表系统和Adhoc查询系统等，API服务接口', '3.\xa0提供数据化运营工具，构建丰富多样的大数据应用\xa0', '4.\xa0管理岗职责：改进流程和规范，code review，项目驱动，员工激励、培训/招聘/淘汰。', '任职要求：', '1.\xa0良好的java编程能力，熟悉java开发工具和调试工具\xa0；', '2.\xa0熟悉Spring MVC框架，Hibernate或Mybatis持久层，Bootstrap，Node JS, AngularJS2等前端框架\xa0', '3.\xa0熟悉Web Service/SOA/Redis/消息队列等技术', '4.\xa0熟悉linux系统，熟练使用shell或者python脚本处理工具\xa0', '5.\xa0熟悉hadoop / hive /spark / storm等开源大数据系统的原理和使用\xa0', '6.\xa0有良好的产品思维，能够根据用户需要设计简单，易用的产品\xa0', '7.\xa0有良好的逻辑思维及解决问题的能力', '\xa0', '有如下经验/能力者优先，但不是必须：', '1.\xa0熟悉爬虫和反爬虫技术', '2.\xa0在开源社区有影响力，有专利或者知名技术权威杂志有发表论文\n                ']",['2万-4万/月'],"['五险一金', '年底双薪', '交通补助', '通讯补贴', '带薪年假', '补充医疗保险', '免费班车', '节日福利']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CC647739123J90250133000/
['大数据研发总监'],['天九共享控股集团'],['朝阳区北苑家园秋实路绣菊园7号天九幸福控股集团'],['\n本科                        '],"['岗位职责', '1、负责大数据平台建设，大数据分析、研究和运营，为决策和管理提供支持;', '2、负责公司大数据平台的开发和维护，负责大数据平台持续集成相关工具平台的架构设计与产品开发等工作;', '3、主要从事网络日志的大数据分析工作，包括:网络日志的数据提取、数据融合及分析;专注于实时计算、流式计算、数据可视化等技术的研发;', '4、负责本部门的管理和大数据的分析、研究和运营。', '任职要求', '1.计算机、数学、软件工程相关专业，硕士及以上学历；', '2.8年以上分布式系统、大数据相关工作经验，负责过3个以上大数据项目的研发实施工作；', '3.具有海量数据挖掘、数据建模相关的应用型项目实践经验；熟悉掌握常用统计分析方法，熟练掌握常用数据挖掘和机器学习算法；', '4.精通Hadoop、Spark、Hive、HBase等主流的大数据技术，熟悉算法，建模（如：推荐、用户画像等）；', '5.熟悉Java或Scala，熟悉Linux，至少熟练使用Shell、Python等脚本语言之一；', '6.有互联网、企业管理行业数据挖掘及算法设计工作经验，有用户行为分析、用户建模、业务建模、数学建模等方面经验者优先；', '7.精通大数据管理，5年以上大数据管理运营经验，良好的沟通、协作能力，忠诚、踏实、敬业。', '\n                ']",['2万-3万/月'],[],['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC475537517J00122158209/
['大数据专家'],['用友网络科技股份有限公司中央大客户事业本部'],['北清路68号用友产业园'],['\n本科                        '],"['工作职责：', '1、负责大数据项目的售前实施方案的设计；', '2、负责大数据项目的项目实施；', '3、配合事业部制定大数据发展策略。', '岗位要求：', '1、8年以上工作经验，3年以上大数据项目经验；', '2、本科以上学历；', '3、具备大数据的实践项目三个以上；', '4、有互联网、大数据产品工作经验优先；', '5、有传统企业数据中心建设经验优先。\n                ']",['1.5万-2万/月'],"['餐补', '周末双休', '交通补助', '五险一金', '定期体检', '通讯补贴', '带薪年假']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC000107846J00131955813/
['大数据开发工程师'],['同程网络科技股份有限公司'],['苏州工业园区裕新路188号同程大厦'],['\n本科                        '],"['岗位职责：', '1、负责大数据平台化中各个子系统的开发工作；', '2、负责大数据基础技术的调研和选型升级；', '3、结合需求设计高扩展、高性能、高可用的技术系统；', '任职要求：', '1、本科或以上计算机相关专业学历；', '2、熟悉Java及web应用开发，了解分布式、多线程及高性能的设计与编码及性能调优， 熟悉使用常用关系型数据库，了解SQL优化方法；', '3、至少会使用一种脚本语言，包括但不局限于Shell、Ruby、Groovy、Python，能够在日常工作中使用脚本简化工作；', '4、有大数据经验，熟悉主流的大数据产品和数据分析技术并具有一定的相关项目经验者优先；', '5、熟悉Linux日常工作环境，熟悉掌握常用命令和调优监控手段优先', '6、大数据相关开源技术贡献者优先。', '\n                ']",['2.5万-5万/月'],"['五险一金', '加班补助', '通讯补贴', '带薪年假', '定期体检', '员工旅游', '节日福利']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC141685250J90261459000/
