职位,公司,地区,学历,岗位,薪资,福利,工作经验,链接
['高级软件工程师'],['东莞市顾学软件科技有限公司'],['龍崗'],['\n大专                        '],"['岗位职责：', '1.      负责公司系统技术方案、开发、维护、运作', '2.      参与项目需求分析，撰写文档，进行系统框架和模块的设计，并提出相关技术可行性方案', '3.      具有良好的动手能力，完成产品功能和性能测试，协助处理项目实施过程中的软硬件问题', '4.      指导初级软件工程师完成工作任务', '岗位要求：', '1.      本科或以上学历，计算机软件或相关专业，对于能力特别优异者，可忽略此条件', '2.      3-5年开发工作经验，有实际带领项目的经验', '3.      前端： Javascript, Css, Angular/vue/React 框架，canvas,', '4.      后端：Java (Spring, hibernate框架)', '5.      数据库 : MYSQL 及 redis', '6.      伺服器： Linux命令，shell脚本，nginx', '7.      具备第三方SDK接口开发经验，如微信支付、微信分享、支付宝支付；', '8.      熟悉WebSocket', '9.      懂得直播技术优先', '10.    熟悉教育软件开发优先考虑', '11.   有很强的分析问题和解决问题的能力，具有Can-Do态度，有强烈的责任心', '12.   有团队精神，良好的抗压能力，心态积极，能主动融入团队', '13.   对业界最新的工具和技术有强烈的求知欲，工作热情主动，能够从工作中找到乐趣', '福利待遇:', '1.      劳工福利： 签订正式《劳动合同》、五险一金等；', '2.      奖金分红： 定期按工作表现和公司盈利分红；', '3.      节假年假：我们为员工提供除法律规定的公休假日及婚假、产假、病假等法定休假外，试用期后可享有根据工龄5-15天的带薪年假；', '4.      工作环境：工作环境温馨、舒适，员工之间关系和谐平等，对待新员工关心、友爱；', '5.      定期培训：定期举行公司研讨会形式培训； \n                ']",['1.5万-2万/月'],"['五险一金', '年终分红', '带薪年假']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC846879260J00281505907/
['大数据技术经理'],['北京宸瑞科技股份有限公司'],['北京市海淀区成府路270号中科科仪园区6号楼'],['\n大专                        '],"['岗位职责：', '1、负责大数据管理平台、数据分析挖掘系统的技术架构设计和开发工作；', '2、负责海量数据处理性能、分布式集群稳定性的调优工作；', '3、负责从数据采集到数据应用的整体流程设计及开发工作；', '4、负责解决核心技术问题；', '5、参与公司技术方向的决策与预言；', '职位要求：', '工作经验：5年以上项目开发经验，其中大数据项目开发经验3年以上；', '项目经验：参与过3个以上大型项目的架构设计和开发，具有大数据（TB级）处理性能及集群架构稳定性的调优经验，具有spark挖掘算法开发经验。', '学历：本科及以上学历，计算机相关专业', '技能要求：熟练掌握Java开发技术，熟练掌握Hadoop技术原理及技术生态圈（spark，solr、es、hive、kafka、storm、redis、sqoop等），具有大数据处理性能及集群架构稳定性的调优能力。', '\n                ']",['3万-3.5万/月'],"['年底双薪', '加班补助', '交通补助', '餐补', '带薪年假', '定期体检', '节日福利']",['\n10年以上                            \n                        '],https://m.zhaopin.com/jobs/CC273811919J90251623000/
['大数据开发工程师[福州]'],['天目数据(福建)科技有限公司'],['福建省福州市马尾区江滨东大道海峡金融大厦18F'],['\n本科                        '],"['岗位职责', '1、负责产品构建及应用开发。', '2、支持大数据项目相关开发任务。', '3、产品相关前沿技术跟踪与研发。', '4、产品相关的其他任务。', '5. 可以接受外派到异地，协助工作沟通。', '任职资格', '1、计算机、数学及相关专业本科以上。', '2、拥有实际的1年以上大数据项目开发经验。', '3、熟悉python语言。', '4、熟悉Hadoop、Spark生态圈上的各种应用的几种，MapReduce、Hbase、Hive、Spark-SQL、Spark ML、Graphx等。', '5、对机器学习原理有基本认识，有数据建模的经验，能根据项目需要进行算法模型的选择与开发，熟悉关系型数据库Oracle, 有hbase数据库使用经验更佳。', '6、良好的团队合作，较强的沟通能力，对解决挑战型问题充满激情。', '7、优秀毕业生可放宽相关要求。\n                ']",['8千-1.3万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00301447405/
['大数据研发工程师'],['天目数据(福建)科技有限公司'],['福建省福州市马尾区江滨东大道海峡金融大厦18F'],['\n本科                        '],"['岗位职责：', '1、协调并指导团队成员完成部门大数据相关项目的设计研发等工作；', '2、负责部门的大数据项目的设计、开发和文档编写工作。', '3、负责部门大数据挖掘分析的算法分析、设计工作。', '4、负责项目上线时大数据框架的搭建，调优工作。', '5、负责大数据前沿技术、开源项目等学习研究，将前沿新技术、开源项目等应用落地到项目中。', '6、负责各类大数据工具的比对选型工作，完成大数据基础架构的搭建等工作；', '岗位要求：', '1、本科及以上学历，计算机或数学相关专业；', '2、五年以上大数据行业从业经验， 熟悉大数据相关技术体系，有大数据实际项目技术开发经验（hadoop,druid.io,storm,spark，elasticsearch等)；', '3、精通java/python编程语言，熟练掌握常用的数据结构和算法；', '4、熟悉常见的开源框架，对新技术敏感，具有良好的系统分析、架构设计能力；', '5、熟悉Linux/unix操作系统,能针对所使用的大数据框架对系统参数进行调优；', '6、熟悉linux/UNIX shell、熟悉(Perl/python /shell)任意一种脚本语言。', '\n                ']",['1万-2万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00157272405/
['大数据实施工程师[福州]'],['天目数据(福建)科技有限公司'],['福建省福州市马尾区江滨东大道海峡金融大厦18F'],['\n本科                        '],['\n                '],['8千-1.3万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00302200705/
['大数据平台产品经理'],['天目数据(福建)科技有限公司'],['福建省福州市马尾区江滨东大道海峡金融大厦18F'],['\n本科                        '],"['岗位职责：', '1、负责公司大数据平台的产品规划、设计及生命周期管理；', '2、负责与合作部门、用户收集产品需求，确定业务解决方案，制定产品原型，编写相关的需求文档，不断优化产品，提升产品服务效率和质量；', '3、负责产品的项目管理工作，把控项目进度、方向及实施质量等；', '4、负责大数据平台的品牌包装及推广运营。', '岗位要求：', '1、本科以上学历，计算机相关专业，2年以上产品经验；', '2、有较强的沟通能力、逻辑思维和需求分析能力，以及产品设计相关工具的应用能力和解决方案制定能力；', '3、熟悉互联网项目研发流程，熟悉敏捷开发，熟悉持续集成以及测试流程、发布流程等，有电商平台或大数据平台产品工作经验者最佳；', '4、了解基本的互联网实现技术和前后台实现逻辑；', '5、具备一定的平台运营思维能力，熟悉主流平台的运营策略；', '6、结果导向、快速执行、自我驱动；', '7、熟练掌握Office办公软件、Axure、思维导图、Visio等设计软件；\n                ']",['8千-1.5万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00172669205/
['大数据分析师'],['天目数据(福建)科技有限公司'],['江滨东大道海峡金融大厦18楼'],['\n本科                        '],"['1. 负责推荐系统算法设计；', '2. 负责自然语言处理和机器学习相关的算法研究、内核开发工作；', '3. 运用机器学习、数据挖掘算法，解决海量数据分析、挖掘方面的业务需求。', '岗位要求：', '1. 计算机、数学、统计、通信等相关专业本科及以上学历;', '2. 熟悉概率与统计、机器学习经典算法；', '3. 熟悉Python或R语言；', '4. 有海量数据数据挖掘与机器学习相关工作经验者优先；', '5. 喜欢挑战，热爱跨界，享受团队协作。', '6．有Hadoop，Spark，Tensor flow的开发经验，熟悉Linux优先。7、有大数据分析经验者、金融、电力、网络安全领域工作经验者优先。 8、有良好的职业道德，具备团队合作精神和沟通能力，高度的责任心。\n                ']",['1.5万-3万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00224712205/
['公有云大数据平台高级研发工程师'],['浪潮集团有限公司'],['浪潮大厦'],['\n本科                        '],[],['2.2万-4.4万/月'],"['五险一金', '节日福利', '定期体检', '带薪年假', '通讯补贴']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC120143601J00136783213/
['成都大数据高级工程师'],['北京高信达通信科技股份有限公司'],['天府大道北段16中国联通办公大楼'],['\n大专                        '],"['1、基于Hadoop及相关组件SPARK、HIVE、Storm、Hbase等进行开发和分析业务。', '2、业务数据收集整理，结合业务对多种数据源进行深度组合分析、挖掘。', '3、参与Haddop大数据平台产品的现场部署、调优和运维。', '4、了解前端开发：JavaScript-Jquery         ', '5、了解前端开发： MVC     ', '6、熟练设计规范： RESTful规范        ', '7、熟练设计规范： JSON交互协议   ', '8、熟练开发技术： Java编程语言     ', '9、熟练开发技术： SpringFramework        ', '10、熟练开发技术： 缓存技术-Redis/MemCache     ', '11、熟练开发技术： 消息队列-Kafka/RabbitMQ/ActiveMQ     ', '12、了解开发技术： NoSQLDB-Cassandra/MongoDB       ', '13、了解开发技术： 搜索引擎-ES/Solr       ', '14、熟练数据库： SQL语言        ', '15、熟练数据库： 常用数据库(MySQL/Oracle/GP)   ', '16、熟练数据库： 索引技术和SQL优化   ', '17、了解数据库： Sharding,Partition         ', '18、精通大数据：Hadoop(HDFS/Hbase/Hive)   ', '19、精通大数据： Spark(SparkSQL)    ', '20、精通大数据： Storm     ', '21、熟练软件部署： Linux-操作命令，Shell脚本     ', '22、熟练软件部署： 应用服务器(Tomcat/WebLogic/WebSphere)    ', '23、数据仓库         ', '24、精通Hbase      ', '25、精通Hive         ', '26、熟练Sqoop      ', '27、熟练Kafka       ', '28、熟练Flume      ', '29、精通Oracle     ', '30、有机器学习经验者优先考虑', '31、有安全经验者优先考虑', '32、完成领导交办的其它工作。\n                ']",['1.7万-2.2万/月'],"['五险一金', '加班补助', '交通补助', '带薪年假', '不加班']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC120078326J00140789313/
['大数据/AI技术人员（5G数据）'],['天云融创数据科技(北京)有限公司'],['北京朝阳区东四十条富华大厦AB座11层'],['\n本科                        '],"['五季数据科技（北京）有限公司是一家专注于石油行业的高科技公司，成立于2018年8月，公司专注于石油企业大数据和人工智能技术应用。帮助石油行业提高效率，用新方法解决实际问题。', '为适应公司业务快速增长需要，特诚邀有识之士加盟。', '主要工作职责：', '1）负责公司AI平台及技术、AI产品研发；', '2）负责石油AI产品设计与研发；', '3）参与或负责项目实施与建设；', '4）为售前提供技术支持、售前技术方案编制、客户技术交流、培训。', '任职要求：', '1）软件研发大学及以上学历，或数学专业大学及以上学历；应届生亦可；', '2）有3年以上工作经验者优先；有大数据或AI工作经验者优先。', '3）工作地点：北京， 薪资标准：面谈。\n                ']",['1.2万-2.4万/月'],"['五险一金', '绩效奖金']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC620333526J00109576212/
['大数据网络销售双休+无线+高提成【郑州】'],['河南聚源网络科技有限公司'],['金水区金水路与玉凤路交叉口浦发国际金融中心2301室'],"['经验', '\n                                ', '学历', '不限                        ']",[],['4千-6千/月'],"['绩效奖金', '全勤奖', '带薪年假', '周末双休', '每年多次调薪', '不加班']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC375031730J00123948910/
['大数据分析师助理'],['济南首佳科技企业孵化器有限公司'],['文化东路泰山科技大厦'],"['经验', '\n中专                        ']","['岗位职责：', '1.负责公司的数据分析工作', '2.负责挖掘数据分析需求，制定并实施分析方案，并根据数据分析结果为产品的改进提出合理化建议；', '3.结合分析结果及对业务需求的深入理解，设计业务指标体系及数据产品并驱动研发。', '职位要求：', '1，应往届本科及以上计算机、信息、数学、统计，金融等相关专业；在职程序员1-3年java经验也可；', '2，入职可获得《大数据资格证书》（总裁亲自颁发）', '3，立志在大数据领域深造者', '4，欢迎应届生投递岗位', '薪资待遇：', '1，转正起薪4000元/月；', '2，签订正式劳动合同，五险一金；', '3，每年享受国家规定的带薪年假，法定节假日等福利；', '4，节假日庆典活动及节日福利；', '5，按工作年限享受子女教育补助，购房补贴及股份等；\n                ']",['3.5千-5千/月'],"['14薪', '绩效奖金', '周末双休', '包吃', '包住', '高温补贴', '弹性工作', '带薪年假']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC471527880J00058320113/
['大数据分析可应届生4K+'],['长沙市鹰图电子科技有限公司'],['开福区芙蓉中路一段458号平安大厦7楼'],"['经验', '\n                                ', '学历', '不限                        ']","['工作内容：', '1、配合数据分析师做数据分析，懂些计算机类的工作;', '2、有工作经验通过面试直接上岗，无工作经验或者工作经验不丰富者通过面试可提供实习机会。', '任职要求：', '1、对数据技术有钻研热情，具备高度的责任心及团结协作精神，善于沟通交流;', '2、喜欢数据统计类工作;', '3、喜欢动脑，喜欢计算机类工作。', '公司福利：', '1、薪酬福利：为员工提供富有竞争力的薪酬体系并每年对员工进行年度薪酬调整。', '2、社会保险：五险一金', '3、晋升机制：公司设立良好的晋升机制并提供内部招聘、职位轮换机会。', '4、成长与职业发展：人力资源部为所有岗位建立了成长模式和职业发展通道，并以顾问形式为员工提供成长建议。', '5、节日贺礼：公司在传统佳节派发节日礼品以增添节日气氛。', '6、生日派对：员工过生日公司生日派对及贺卡以表祝福。', '7、公司给予员工生活关怀，公司设有茶水间，休息阳台和员工休息室，提供微波炉，冰箱等。', '面试地址：长沙开福区芙蓉中路一段458号平安大厦7楼人事部', '工作时间：早上9:00到晚上17:00，周末双休', '\n                ']",['4千-6千/月'],"['周末双休', '五险一金', '全勤奖', '餐补', '节日福利', '高温补贴', '定期体检', '年底双薪']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC826021210J00140832702/
['大数据工程师、数据分析工程师'],['武汉汉思信息技术有限责任公司'],['江夏区金融港B28'],['\n本科                        '],"['工作职责：', '负责基于Spark的并行计算平台的开发与优化工作', '职位要求：', '1.熟练掌握Java语言', '2.有深厚的操作系统，数据结构和算法基础', '3.熟悉并行计算或者分布式计算者优先考虑', '4.熟悉Hadoop/Spark或者其他分布式系统', '5.熟悉Kafka或者其他分布式消息队列', '6.熟悉Java或者Scala语言', '7.熟悉常用的分析以及故障诊断工具', '8.熟悉SQL语言，了解存储过程和函数优先', '9.了解Spark原理者优先', '10.较强的团队合作能力\n                ']",['1万-1.5万/月'],"['五险一金', '年底双薪', '补充医疗保险', '带薪年假', '餐补', '节日福利']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC538932120J00298160305/
['腾讯云大数据开发热招'],['济南首佳科技企业孵化器有限公司'],['文化东路泰山科技大厦'],"['经验', '\n中专                        ']","['岗位职责：', '1.参与公司数据平台架构设计和开发', '2.参与日常Python入门开发任务/Java入门开发', '3.前期以助理的方式参与并成长，直到能上手做Python开发项目', '4.辅助管理Hadoop集群；', '任职要求：', '1.中专及以上学历，计算机科学与技术、软件工程、应用数学、统计学等大数据相关专业；', '2.喜欢代码开发岗位，并有志在互联网行业发展', '3，欢迎17、18应届生投递', '工作时间：朝九晚五，周末及节假日双休\n                ']",['3.5千-6千/月'],"['14薪', '绩效奖金', '周末双休', '包吃', '包住', '高温补贴', '弹性工作', '带薪年假']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC471527880J00058317813/
['区域销售（大数据教育方向）'],['安徽七天教育科技有限公司'],['海淀区'],"['经验', '\n大专                        ']","['岗位职责：', '1、负责公司教育产品在所辖区域内中小学市场的业务开发、拓展；', '2、负责所辖区域内客户关系管理及渠道建设；', '3、负责所辖区域内学校客户日常维护、考试维护；', '4、定期对所辖区域学校开展市场调研，进行客户沟通，升级业务解决方案；', '5、负责协助所辖区域内家长用户的推广维护、咨询解答。', '任职标准：', '1、大专及以上学历，20-38岁，条件优秀者可放宽；', '2、有保险、教育、互联网相关产品销售经验优先，优秀应届毕业生亦可；', '3、对计算机操作较为熟练（需携带笔记本开展日常工作）；', '4、沟通能力、应变能力、执行力、团队协作能力、责任心', '5、能适应出差/驻外、有当地教育系统资源的优先考虑；', '其他福利：社会保险、寒暑假活动、团队活动、法定节假日、节日福利、团队旅游、期权激励、福利补贴（交通、通讯、外地租房等）、各类奖金（不定期开展考试奖、PK奖、高频学校奖、开发奖）、探亲假（非本地区域员工）', '职业发展：业务经理---片区经理---省区经理/项目经理---总监助理---区域总监\n                ']",['8千-1万/月'],"['交通补助', '通讯补贴', '节日福利', '股票期权']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC586387423J00252721207/
['大数据业务部门_Java工程师'],['北京思特奇信息技术股份有限公司'],['湖南省长沙市芙蓉区韶山北路139号湖南文化大厦12A06室'],['\n本科                        '],"['岗位职责：', '1、 参与电信运营商收入保障类系统项目的项目实施 ； ', '2、 参与工程项目需求的开发实现，与客户的需求对接； ', '3、 参与项目实族过程中的技术文档编写，技术方案设计；', '任职资格：', '1、 两年以上实际JAVA项目开发实施工作经验，有电信行业支撑系统经验优先，OLAP类系统经验优先； ', '2、 熟练掌握JAVA、JSP、JS技术；熟悉springmvc、 Spring、   mybatis、bootstrap等框架,熟练操作ORACLE、MYSQL数据库； ', '3、   了解主流分布式存储、分布式计算、分布式服务等相关技术框架者优先 ', '4、 思路清晰，善于思考，能独立分析和解决问题； ', '5、 责任心强，具备良好的团队合作精神；积极向上、良好的学习能力优先；', '\n                ']",['6千-9千/月'],"['五险一金', '绩效奖金', '交通补助', '餐补', '通讯补贴', '带薪年假', '弹性工作', '补充医疗保险']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CC120747254J90258421000/
['大数据产品专员-业务方向'],['天翼征信有限公司'],['上海市虹口区塘沽路463号虹口科技金融大厦2楼'],['\n本科                        '],[],['6千-1.2万/月'],[],['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC440177930J00218494102/
['4K急java大数据助理'],['沈阳天诚极米科技有限公司'],['沈河区'],"['经验', '\n大专                        ']","['岗位职责：', '1、该岗位为偏初级技术类型岗位；', '2、协助工程师完成公司2018承接的开发项目；', '3、发现并解决开发过程中遇到的一系列问题；', '4、无经验有人带领在工作中实习。', '岗位要求：', '1、18-30岁，中专及以上学历。', '2.责任心强，有良好的团队精神和亲和力', '3.懂办公软件操作，有意向长期往技术方向发展', '4.能吃苦、学习能力强，做事积极、细心', '福利待遇：', '1.周末双休；', '2.五险一金，优于行业水平的薪资+绩效奖金；', '3.一年一到两次的加薪机会；', '4.高于法定规定的超长带薪休假；', '5.广阔的晋升空间，公司将向每个员工提供均等的晋升机会。\n                ']",['3千-4.5千/月'],"['五险一金', '全勤奖', '年底双薪', '包吃', '包住', '绩效奖金', '年终分红', '交通补助']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CZ840762650J00099462709/
['区域销售（大数据教育方向）'],['安徽七天教育科技有限公司'],['地区'],"['经验', '\n大专                        ']","['岗位职责：', '1、负责公司教育产品在所辖区域内中小学市场的业务开发、拓展；', '2、负责所辖区域内客户关系管理及渠道建设；', '3、负责所辖区域内学校客户日常维护、考试维护；', '4、定期对所辖区域学校开展市场调研，进行客户沟通，升级业务解决方案；', '5、负责协助所辖区域内家长用户的推广维护、咨询解答。', '任职标准：', '1、大专及以上学历，20-38岁，条件优秀者可放宽；', '2、有保险、教育、互联网相关产品销售经验优先，优秀应届毕业生亦可；', '3、对计算机操作较为熟练（需携带笔记本开展日常工作）；', '4、沟通能力、应变能力、执行力、团队协作能力、责任心', '5、能适应出差/驻外、有当地教育系统资源的优先考虑；', '其他福利：社会保险、寒暑假活动、团队活动、法定节假日、节日福利、团队旅游、期权激励、福利补贴（交通、通讯、外地租房等）、各类奖金（不定期开展考试奖、PK奖、高频学校奖、开发奖）、探亲假（非本地区域员工）', '职业发展：业务经理---片区经理---省区经理/项目经理---总监助理---区域总监\n                ']",['8千-1万/月'],"['交通补助', '通讯补贴', '节日福利', '股票期权']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC586387423J00253198907/
['大数据开发实习生'],['广州粤嵌通信科技股份有限公司湖南分公司'],['湖南省长沙市开福区芙蓉中路八一桥西北侧金帆大厦909室'],"['经验', '\n大专                        ']","['任职要求：', '1、大专及本科以上学历，对python编程感兴趣', '2、有一定的计算机基础', '3、熟悉c语言，数据库更佳', '4、了解过hadoop、spark、机器学习算法更佳', '岗位职责：', '1、负责公司大数据平台的搭建', '2、负责基于Impala、Spark等主流分布式计算框架进行相关大数据分析功能开发', '2、负责Hadoop平台相关功能组件（如：Flume、Sqoop）的配置及开发工作', '3、协助大数据分析工程师对数据进行分析', '福利待遇：', '1、实习期间带薪，提供食宿。', '2、转正待遇：基本薪资+奖励（根据岗位不同，月薪在4500—8000元），根据岗位工作业绩，逐步提升。三年内月薪可达1W-3W.', '3、朝九晚六，周末双休，购买五险一金，节假日福利，成熟的员工晋升渠道和丰富的员工活动。', '有简历者可直接投递简历，筛选过后，HR会尽快与您联系。', '\n                ']",['5千-8千/月'],"['周末双休', '五险一金', '年底双薪', '包住', '餐补', '节日福利', '带薪年假', '员工旅游']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC268668236J00070466208/
['大数据开发工程师（离线）'],['广州亚美信息科技有限公司'],['高唐路227号时代E-PARK3栋'],['\n本科                        '],[],['1.5万-2万/月'],"['周末双休', '五险一金', '年底双薪', '绩效奖金', '带薪年假', '弹性工作', '定期体检', '员工旅游']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC508592025J00277663803/
['大数据分析师助理'],['太原中软卓越信息技术有限责任公司'],['太原市迎泽区建设南路与亲贤北街交叉口盛饰大厦六层'],"['经验', '\n大专                        ']","['一、岗位要求：', '1、用常用的统计软件及编程语言分析每日交易数据，协助做二级技术分析数据；', '2、协助经理用之前数据做回测、开发交易策略；', '3、协助分析企业金融经济，指导提供企业竞争情报分析方案、报告；', '4、根据实际业务要求，完成较深入的专项数据分析并形成分析报告。', '二、任职资格：', '1. 大专及以上学历；', '2. 沟通能力佳，有团队意识；', '3.热爱计算机软件开发行业；', '4.善于学习和总结分析，有良好的工作态度和团队合作精神；', '5. 退伍军人优先，有无经验均可。', '三、工作时间：', '朝九晚六 双休 法定假日休息，带薪年假，六险一金（含商业保险）', '\n                ']",['6千-8千/月'],"['五险一金', '年底双薪', '绩效奖金', '带薪年假', '补充医疗保险', '节日福利']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC431389236J90250810000/
['大数据初级工程师'],['济南首佳科技企业孵化器有限公司'],['文化东路泰山科技大厦'],"['经验', '\n中专                        ']",['岗位职责：1.协助项目Leader 公司的数据分析工作，2.参与挖掘数据分析需求，制定并实施分析方案，并根据数据分析结果为产品的改进提出合理化建议；3.结合分析结果及对业务需求的深入理解，设计业务指标体系及数据产品并驱动研发。职位要求：1，大学本科及以上应、计算机，数学，统计，金融等相关专业；在职程序员可专科；1-3年java经验也可；2，入职可获得《大数据资格证书》（总裁亲自颁发）3，立志在大数据领域深造者4，欢迎应届生投递岗位薪资待遇：1，上岗起薪8000元/月；2，签订正式劳动合同，五险一金；3，每年享受国家规定的带薪年假，法定节假日等福利；4，节假日庆典活动及节日福利；5，按工作年限享受子女教育补助，购房补贴及股份等；\n                '],['3千-6千/月'],"['14薪', '绩效奖金', '周末双休', '包吃', '包住', '高温补贴', '弹性工作', '带薪年假']","['\n                                ', '不限                            \n                        ']",https://m.zhaopin.com/jobs/CC471527880J00058316513/
['大数据网络销售'],['河南聚源网络科技有限公司'],['金水区金水路与玉凤路交叉口浦发国际金融中心2301室'],['\n大专                        '],[],['6千-8千/月'],"['绩效奖金', '全勤奖', '带薪年假', '周末双休', '每年多次调薪', '不加班']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CC375031730J00123960010/
['大数据工程师'],['搜易贷(北京)金融信息服务有限公司'],['北京市海淀区丹棱街1号互联网金融中心八层'],['\n本科                        '],"['岗位职责：', '1、负责公司大数据基础服务系统研发设计工作；', '2、参与应用选型研究、系统架构设计、软件开发工作；', '3、负责数据基础结构的规划和设计；', '4、用户行为、日志等数据的处理、分析、挖掘和存储。', '任职要求：', '1、统招本科及以上学历，计算机相关专业，3年以上开发经验，良好的理工科背景、扎实的数理功底优先；', '2、精通Java开发，熟悉IO机制、网络通讯、多线程等基础知识框架，熟悉缓存、消息队列、索引查询等机制；', '3、熟练掌握Hadoop的MapReduce应用的开发以及部署，熟悉分布式计算系统理念，熟悉Hive、Pig等大数据开发工具，熟悉mahout 、mlab；', '4、熟练掌握 linux、python ，熟悉spark框架、storm流式计算', '5、对数据库有一定了解，熟悉ETL流程；', '6、熟悉推荐系统，掌握各种数据挖掘算法者优先；', '7、有爬虫、网页正文提取、分词和特征提取等相关经验优先；', '8、熟悉junit、sonar等代码质量保障工具；', '9、具有良好的团队协作精神，对互联网主流的研发流程、质量控制方式、项目管理方式有充分的了解有责任感、可承受多任务并行的工作压力，重视沟通，具备自主的学习能力和追求卓越的态度。', '\n                ']",['1.5万-3万/月'],"['五险一金', '绩效奖金', '包吃', '通讯补贴', '带薪年假', '补充医疗保险', '定期体检', '员工旅游']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC651530223J90250703000/
